lwage,yob,draftelig,veteran
5.3101001,50,0,1
6.2217002,50,0,0
6.5759001,50,0,0
6.9182,50,0,0
5.5145998,50,0,1
6.3192,50,0,0
5.1090999,50,0,1
5.2591,50,1,1
4.6005001,50,1,0
4.8929,50,1,0
3.6387,50,0,1
5.3369999,50,0,1
3.5624001,50,0,0
4.3246002,50,0,0
6.4664001,50,0,0
5.3323002,50,1,0
5.3976002,50,0,0
5.3323002,50,0,0
5.2725,50,0,1
5.3092999,50,0,0
5.6090002,50,0,0
4.8283,50,1,1
5.3544002,50,0,0
5.6013999,50,0,1
4.9267998,50,0,0
4.2656999,50,1,0
5.2073002,50,0,0
6.4840999,50,0,0
5.8225002,50,0,1
5.4949999,50,1,1
5.2409,50,1,0
6.092,50,1,0
5.4949999,50,0,0
5.6238999,50,0,0
5.2631001,50,1,1
5.9245,50,0,0
6.2217002,50,0,1
4.6230001,50,0,0
5.4506001,50,1,1
5.2873001,50,0,0
5.1718998,50,1,0
5.0233998,50,0,0
6.0545998,50,1,0
5.9955001,50,0,1
6.1015,50,0,0
5.8228998,50,0,1
4.9972,50,0,1
5.0250001,50,0,0
5.934,50,0,0
5.7424998,50,0,1
5.1849999,50,0,0
5.9147,50,0,0
5.0068002,50,0,0
5.6686001,50,0,0
5.8213,50,0,0
5.7863998,50,0,0
5.224,50,1,0
6.4025998,50,1,0
5.5945001,50,0,0
5.0250001,50,0,0
5.8772001,50,0,0
5.3564,50,0,0
4.4959998,50,0,1
4.5465002,50,1,1
5.8470001,50,1,0
5.0068002,50,0,0
5.9200001,50,0,0
5.4863,50,1,0
5.2718,50,0,0
4.1479001,50,0,0
5.1202998,50,1,0
5.2631001,50,0,1
5.7094002,50,0,0
4.9196,50,0,0
5.8256001,50,0,0
4.5672998,50,1,1
5.8227,50,0,1
5.5145998,50,1,0
5.5197001,50,0,0
5.2725,50,1,0
5.0106001,50,0,1
5.6283998,50,1,1
3.4266,50,0,0
5.6539998,50,1,0
5.4863,50,0,0
5.9274001,50,0,0
4.0904999,50,0,0
5.1974001,50,0,0
6.1163001,50,1,0
5.5632,50,0,0
5.9412999,50,0,0
5.6199002,50,0,0
5.2873001,50,0,0
6.0181999,50,0,0
6.2217002,50,1,1
5.6592002,50,0,0
6.2887001,50,0,0
5.3678002,50,1,0
4.8745999,50,1,0
5.1669002,50,0,1
5.7897,50,0,0
5.0177002,50,0,1
5.7181001,50,0,0
6.1015,50,1,1
5.1090999,50,0,0
4.802,50,0,0
